id,max_x,max_y,max_z,min_x,min_y,min_z,mean_x,mean_y,mean_z,var_x,var_y,var_z,activity,isFall,timestamp,duration
1,1.376,0.48,0.16,0.608,0.064,-0.192,0.9444102564102561,0.3023589743589745,0.01805128205128206,0.011834908612754765,0.005819666009204473,0.005214253780407628,Walk-Flat Ground,0,1521638768.763,4.579999923706055
2,1.376,0.48,0.576,0.736,0.064,-0.32,0.963404255319149,0.31727659574468103,-0.012255319148936175,0.016699219556360344,0.006093008601177002,0.023510743322770485,Walk-Flat Ground,0,1521638771.263,4.980000019073486
3,1.216,0.384,0.576,0.768,0.256,-0.32,0.9204705882352945,0.32564705882352946,0.015058823529411784,0.010906131487889274,0.002317287197231834,0.047840996539792395,Walk-Flat Ground,0,1521638773.763,4.099999904632568
4,1.696,1.408,0.576,-0.416,0.224,0.0,0.8420298507462683,0.38017910447761216,0.13802985074626872,0.08758131254176876,0.06668295299621296,0.01605414836266429,Run-Flat Ground,0,1521638850.619,4.940000057220459
5,3.168,1.28,0.704,-0.384,-0.16,-0.32,0.9825185185185186,0.28029629629629643,0.04681481481481484,0.3001696570644719,0.032007023319615906,0.013680373113854593,Jump,0,1521638935.8769999,4.980000257492065
6,3.168,2.048,1.76,-0.384,-0.256,-0.64,1.0410666666666668,0.2965333333333333,0.06506666666666665,0.8883359288888889,0.23380878222222223,0.16837859555555557,Jump,0,1521638938.3769999,4.260000228881836
7,1.056,0.256,0.064,-0.16,-0.096,-0.128,0.842666666666666,0.21155555555555572,0.04088888888888892,0.08348444444444443,0.009203358024691358,0.0016845432098765436,Jump,0,1521638991.6529999,4.980000019073486
8,1.056,0.256,0.192,-0.16,-0.096,-0.128,0.4847407407407409,0.09718518518518521,0.027259259259259268,0.2607561920438958,0.014903484224965704,0.005059599451303155,Jump,0,1521638994.1529999,4.940000057220459
9,3.712,1.44,0.704,-0.16,-0.128,-0.416,0.9025882352941178,0.24941176470588236,0.05835294117647058,1.2055961245674744,0.1440093010380623,0.04074740484429065,Jump,0,1521638996.6529999,4.980000019073486
10,1.184,0.48,0.8,0.544,0.032,-0.064,0.8900740740740736,0.24533333333333351,0.14281481481481492,0.011627105624142663,0.0030720000000000005,0.038237410150891625,Sit Down Normally,0,1521639186.833,4.979000091552734
11,1.184,0.48,1.12,0.384,0.032,-0.064,0.690434782608695,0.22365217391304365,0.4845217391304348,0.04695337618147451,0.006711531190926276,0.1543475538752362,Sit Down Normally,0,1521639189.333,4.958000183105469
12,0.928,0.256,1.6,-1.312,-1.024,0.096,0.5345306122448976,0.09632653061224498,0.4597551020408164,0.26630706538942095,0.05660201582673885,0.18319961349437733,Throw Himself on Sofa,0,1521639216.712,4.981000185012817
13,0.928,0.256,1.6,-1.312,-1.024,0.096,-0.030160919540229897,-0.08717241379310349,0.9541149425287359,0.07776176720834993,0.029135499009116005,0.051235986788215095,Throw Himself on Sofa,0,1521639219.212,4.761000156402588
14,1.12,0.864,0.352,0.288,0.16,0.032,0.6966153846153846,0.5390769230769232,0.23138461538461547,0.1440143905325444,0.0944988402366864,0.013887621301775146,Put Down a Thing,0,1521639709.781,4.980000257492065
15,1.12,0.864,0.352,0.288,0.16,0.032,0.9624615384615388,0.3421538461538462,0.128,0.04182040236686392,0.029677822485207114,0.007719384615384615,Put Down a Thing,0,1521639712.281,4.520000219345093
16,0.896,0.576,0.256,0.8,0.512,0.16,0.8533333333333334,0.5493333333333333,0.21333333333333335,0.0009102222222222219,0.0004835555555555545,0.0009102222222222224,Put Down a Thing,0,1521639728.919,3.741000175476074
17,0.992,0.736,0.576,0.32,0.096,0.0,0.8429090909090903,0.3578181818181821,0.17381818181818195,0.02603953719008265,0.02959233057851239,0.020009785123966943,Knee Down,0,1521639985.718,4.974999904632568
18,0.992,0.736,0.576,0.32,0.192,0.0,0.7709999999999994,0.4630000000000003,0.2625000000000001,0.026615000000000024,0.021055000000000032,0.02384575000000002,Knee Down,0,1521639988.218,4.9750001430511475
19,0.832,0.48,0.352,0.8,0.384,0.064,0.8006274509803919,0.4166274509803924,0.3162352941176472,1.968473663975388e-05,0.00018031218762014586,0.0013110034602076101,Knee Down,0,1521639990.718,4.955000162124634
20,0.992,0.416,0.352,0.672,0.192,-0.032,0.8937777777777774,0.2960000000000002,0.0884444444444445,0.004560395061728394,0.0026382222222222224,0.004252246913580248,Knee Down,0,1521640004.7329998,4.761000156402588
21,0.992,0.448,0.416,0.672,0.192,-0.032,0.8264827586206901,0.35972413793103475,0.23337931034482773,0.00738473246135553,0.005519372175980973,0.02496471819262782,Knee Down,0,1521640007.2329998,4.921000003814697
22,1.152,0.448,0.64,0.544,0.16,-0.096,0.8874146341463415,0.30243902439024406,0.08819512195121955,0.0057206329565734695,0.0030758072575847706,0.020294205829863177,Knee Down,0,1521640021.692,4.959000110626221
23,1.568,0.48,0.512,0.544,-0.032,-0.448,0.9420560747663546,0.26736448598130863,-0.007775700934579437,0.023316146388330853,0.004311371822866626,0.010064697353480654,Walk-Flat Ground,0,1521640215.626,4.939000129699707
24,1.792,0.704,0.512,0.544,-0.032,-0.448,0.9557551020408159,0.2706938775510206,-0.023510204081632655,0.04682475635152018,0.009846457309454394,0.01739861724281548,Walk-Flat Ground,0,1521640218.126,4.959000110626221
25,1.792,0.704,0.288,0.704,0.032,-0.224,0.9672112676056336,0.2812394366197185,-0.018929577464788738,0.05071532156318192,0.010352942670105142,0.010660487998413015,Walk-Flat Ground,0,1521640220.626,4.999000072479248
26,1.76,0.512,0.288,0.576,0.096,-0.32,0.9504415584415584,0.26888311688311706,0.0012467532467532497,0.04173305177938941,0.0044752720526227,0.014108367684263786,Walk-Flat Ground,0,1521640223.126,4.977999925613403
27,1.76,0.544,0.288,0.576,0.032,-0.32,0.9499428571428569,0.2684952380952383,-0.0030476190476190525,0.03281313959183673,0.005510002358276645,0.01670629297052155,Walk-Flat Ground,0,1521640225.626,4.999000072479248
28,1.568,0.928,0.352,0.576,0.032,-0.192,0.9582857142857142,0.27114285714285735,0.0042857142857142825,0.028413061224489767,0.010275836734693882,0.014783918367346927,Walk-Flat Ground,0,1521640228.126,4.999000072479248
29,1.504,0.928,0.352,0.64,0.064,-0.224,0.9438632478632473,0.2603760683760686,0.01039316239316239,0.026582408649280433,0.008102832931550882,0.012022443713930889,Walk-Flat Ground,0,1521640230.626,4.959000110626221
